Total Records,,Delay Rate,,,,,,,,,,
25713,,35.37%,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Delays,,,,,,,,--- 1. LINE PERFORMANCE ---,,,,
9094,,,,,,,,Line,Total Incidents,Delayed Incidents,Delay Rate (%),Avg Delay (Min)
UNION STATION TO VMC,1,6,,,,,,,,,,
UNION STATION TO ST. A,1,15,,,,,,,,,,
UNION STATION (YONGE L,1,0,,,,,,,,,,
UNION STATION (TO ST A,1,4,,,,,,,,,,
UNION STATION - KING,1,3,,,,,,,,,,
UNION - TO ST ANDREW,1,0,,,,,,,,,,
TRANSIT CONTROL CENTRE,1,0,,,,,,,,,,
TRANSIT CONTROL,1,0,,,,,,,,,,
TOROTOTO TRANSIT COMMI,1,0,,,,,,,,,,
TORONTO TRANSIT COMMII,1,0,,,,,,,,,,
TORO RD EE,1,0,,,,,,,,,,
TMU STATION (APPROACHI,1,0,,,,,,,,,,
THE POND EMERGENCY EXI,1,0,,,,,,,,,,
SUBWAY: LINE 1 (YONGE-,1,0,,,,,,,,,,
SUBWAY OPS BUILDING,1,0,,,,,,,,,,
SUBWAY CLOSURE: LAWREN,1,0,,,,,,,,,,
SUBWAY CLOSURE,1,0,,,,,,,,,,
STR. CLAIR WEST STATIO,1,0,,,,,,,,,,
STC,1,0,,,,,,,,,,
ST. CLAIR WEST TO ST.,1,0,,,,,,,,,,
ST. CLAIR WEST,1,8,,,,,,,,,,
ST. CLAIR TO BLOOR,1,0,,,,,,,,,,
ST PATRICK STATION TO,1,13,,,,,,,,,,
ST GEORGE TO SPADINA,1,0,,,,,,,,,,
ST GEORGE TO LAWRENCE,1,0,,,,,,,,,,
ST GEORGE TO BROADVIEW,1,0,,,,,,,,,,
ST GEORGE BD STATION (,1,0,,,,,,,,,,
ST GEORGE - DUPONT STA,1,0,,,,,,,,,,
ST CLAIR TO YORK MILLS,1,0,,,,,,,,,,
ST CLAIR TO ST ANDREW,1,0,,,,,,,,,,
ST CLAIR STATION - UPP,1,0,,,,,,,,,,
ST CLAIR E OF YONGE,1,0,,,,,,,,,,
ST ANDREW TO UNION,1,0,,,,,,,,,,
ST ANDREW TO ST CLAIR,1,0,,,,,,,,,,
ST ANDREW,1,0,,,,,,,,,,
SPADINA TO ST GEORGE B,1,36,,,,,,,,,,
SHPPARD STATION TO COL,1,0,,,,,,,,,,
SHEPPARD- YONGE STATIO,1,0,,,,,,,,,,
SHEPPARD YONGE STATION,1,8,,,,,,,,,,
SHEPPARD WEST TO WILSO,1,21,,,,,,,,,,
SHEPPARD WEST TO FINCH,1,0,,,,,,,,,,
SHEPPARD WEST - FINCH,1,0,,,,,,,,,,
SHEPPARD TO EGLINTON L,1,0,,,,,,,,,,
SHEPPARD TO EGLINTON,1,480,,,,,,,,,,
SHEPPARD TO COLLEGE ST,1,0,,,,,,,,,,
SHEPPARD SUBSTATION,1,0,,,,,,,,,,
SHEPPARD SIGNAL POWER,1,0,,,,,,,,,,
SHEPPARD HUB,1,0,,,,,,,,,,
SHEPPARD AND YORK MIL,1,0,,,,,,,,,,
SCARBOROUGH TOWN CENTR,1,0,,,,,,,,,,
RUSSELL SUBSTATION,1,0,,,,,,,,,,
ROYAL YORK TO DONLANDS,1,7,,,,,,,,,,
ROYAL YORK STATION (AP,1,7,,,,,,,,,,
ROSEDALE-WELLESLEY STA,1,0,,,,,,,,,,
QUEENS QUAY STATION,1,0,,,,,,,,,,
QUEENS PARK STATION,1,0,,,,,,,,,,
QUEEN'S PARK STATION (,1,4,,,,,,,,,,
QUEEN TO MUSEUM STATIO,1,0,,,,,,,,,,
QUEEN STATION TO ST AN,1,0,,,,,,,,,,
QUEEN STATION - EAST S,1,0,,,,,,,,,,
QUEEN QUAY STATION,1,0,,,,,,,,,,
PIONEER VILLAGE TO VAU,1,0,,,,,,,,,,
PIONEER VILLAGE AND VA,1,0,,,,,,,,,,
OSSINGTON TO KEELE STA,1,0,,,,,,,,,,
OSSINGTON TO JANE,1,0,,,,,,,,,,
OSGOODE TO BLOOR,1,0,,,,,,,,,,
OSGOODE STATION TO COL,1,0,,,,,,,,,,
OPEN CUT AREAS,1,0,,,,,,,,,,
NORTH HOSTLER - FIRE D,1,0,,,,,,,,,,
N/O LAWRENCE WEST STAT,1,20,,,,,,,,,,
N/O FINCH TO S/O NORTH,1,0,,,,,,,,,,
N/O FINCH TO S/O NORT,1,0,,,,,,,,,,
N/O COLLEGE TO S/END S,1,0,,,,,,,,,,
N/END YORK MILLS TO S/,1,0,,,,,,,,,,
MUSEUM - OSGOODE,1,0,,,,,,,,,,
MCDONALD CARTIER EE,1,0,,,,,,,,,,
MASSEY CREEK EE,1,30,,,,,,,,,,
MARKDALE EMERGENCY EXI,1,0,,,,,,,,,,
MARKDALE EE,1,0,,,,,,,,,,
MAINLINE STORAGE LOG,1,0,,,,,,,,,,
MAIN STREET STATION (A,1,0,,,,,,,,,,
MAIN STATION,1,0,,,,,,,,,,
LYTTON EE,1,0,,,,,,,,,,
LINE1 - YOUNGE-UNIVERS,1,0,,,,,,,,,,
LINE1 - YONGE-UNIVSERS,1,0,,,,,,,,,,
LINE1 - YONGE-UNIVERSI,1,0,,,,,,,,,,
LINE 4 SHEPPARD YONGE,1,0,,,,,,,,,,
LINE 2: BLOOR-DANFORTH,1,0,,,,,,,,,,
LINE 2 OPEN CUT AREAS,1,0,,,,,,,,,,
LINE 2 BLOOR- DANFORTH,1,0,,,,,,,,,,
LINE 2 - BLOOR-DANFOTH,1,0,,,,,,,,,,
LINE 2,1,0,,,,,,,,,,
LINE 1: YONGE-UNIVERIS,1,0,,,,,,,,,,
LINE 1 YONGE-UNIVERIST,1,0,,,,,,,,,,
LINE 1 SUBWAY,1,0,,,,,,,,,,
LINE 1 EARLY ACCESS CL,1,0,,,,,,,,,,
LINE 1 - YONGE/UNIVERS,1,0,,,,,,,,,,
LINE 1 - YONGE-UNIVSER,1,0,,,,,,,,,,
LINE 1 - YONGE - UNIVE,1,0,,,,,,,,,,
LINE 1 - EARLY ACCESS,1,0,,,,,,,,,,
LESLIE STATION (APPROA,1,3,,,,,,,,,,
LESLIE STATION - APPRO,1,16,,,,,,,,,,
LEAVING SHEPPARD STATI,1,0,,,,,,,,,,
